
  1%|▉                                                                                                                                                    | 12/1850 [00:01<04:03,  7.56it/s]
{'loss': 1.7913, 'grad_norm': 5.3294677734375, 'learning_rate': 0.00029934622666907563, 'epoch': 0.15}
{'loss': 1.3925, 'grad_norm': 4.516180515289307, 'learning_rate': 0.00029932225505148864, 'epoch': 0.15}

  4%|██████                                                                                                                                               | 75/1850 [00:10<03:25,  8.65it/s]
{'loss': 1.609, 'grad_norm': 5.009599208831787, 'learning_rate': 0.00029927302006675915, 'epoch': 0.16}
{'loss': 1.5557, 'grad_norm': 5.011481761932373, 'learning_rate': 0.0002992477568415974, 'epoch': 0.16}
{'loss': 1.667, 'grad_norm': 5.252902507781982, 'learning_rate': 0.0002992220632246275, 'epoch': 0.16}
{'loss': 1.5251, 'grad_norm': 5.679326057434082, 'learning_rate': 0.000299195939289943, 'epoch': 0.16}
{'loss': 1.7972, 'grad_norm': 5.079444885253906, 'learning_rate': 0.00029916938511287866, 'epoch': 0.17}
{'loss': 1.7084, 'grad_norm': 5.29866361618042, 'learning_rate': 0.00029914240077000975, 'epoch': 0.17}
{'loss': 1.3702, 'grad_norm': 5.228916168212891, 'learning_rate': 0.00029911498633915213, 'epoch': 0.17}
{'loss': 1.4226, 'grad_norm': 4.7795586585998535, 'learning_rate': 0.00029908714189936196, 'epoch': 0.18}
{'loss': 1.2149, 'grad_norm': 4.613663673400879, 'learning_rate': 0.0002990588675309353, 'epoch': 0.18}
{'loss': 1.1746, 'grad_norm': 4.950620651245117, 'learning_rate': 0.0002990301633154082, 'epoch': 0.18}
{'loss': 1.4052, 'grad_norm': 4.6149582862854, 'learning_rate': 0.0002990010293355561, 'epoch': 0.18}
{'loss': 1.1437, 'grad_norm': 4.201366424560547, 'learning_rate': 0.0002989714656753938, 'epoch': 0.19}
{'loss': 1.458, 'grad_norm': 4.346097946166992, 'learning_rate': 0.0002989414724201753, 'epoch': 0.19}
{'loss': 1.2376, 'grad_norm': 4.680229663848877, 'learning_rate': 0.0002989110496563933, 'epoch': 0.19}

  5%|███████▌                                                                                                                                             | 94/1850 [00:12<03:11,  9.17it/s]
{'loss': 1.3094, 'grad_norm': 4.735488414764404, 'learning_rate': 0.00029884891595530276, 'epoch': 0.2}
{'loss': 1.3488, 'grad_norm': 4.632483959197998, 'learning_rate': 0.0002988172051971717, 'epoch': 0.2}
{'loss': 1.2225, 'grad_norm': 4.773393154144287, 'learning_rate': 0.0002987850652888315, 'epoch': 0.2}
{'loss': 1.0827, 'grad_norm': 4.540226936340332, 'learning_rate': 0.0002987524963229655, 'epoch': 0.21}
{'loss': 1.3694, 'grad_norm': 4.629220962524414, 'learning_rate': 0.00029871949839349403, 'epoch': 0.21}
{'loss': 1.0148, 'grad_norm': 4.559767246246338, 'learning_rate': 0.0002986860715955746, 'epoch': 0.21}
{'loss': 0.8254, 'grad_norm': 3.616881847381592, 'learning_rate': 0.0002986522160256015, 'epoch': 0.21}
{'loss': 1.4255, 'grad_norm': 5.365001678466797, 'learning_rate': 0.0002986179317812053, 'epoch': 0.22}
{'loss': 1.3184, 'grad_norm': 4.732789039611816, 'learning_rate': 0.0002985832189612529, 'epoch': 0.22}
{'loss': 1.1788, 'grad_norm': 4.519579887390137, 'learning_rate': 0.000298548077665847, 'epoch': 0.22}
